No,Name,Pos,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Benjamin, Kelvin",WR,wide,ACT,77,245,05-Feb-91,3,Florida State,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Benjamin, Travis",WR,wide,ACT,70,175,29-Dec-89,5,Miami (Fla.),Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Benn, Arrelious",WR,wide,ACT,74,222,08-Sep-88,6,Illinois,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Bennett, Martellus",TE,tight,ACT,78,275,10-Mar-87,9,Texas A&M,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Bennett, Michael",DE,def,ACT,76,274,13-Nov-85,8,Texas A&M,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Bennett, Michael",DT,def,RES,74,298,24-Feb-93,2,Ohio State,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Berger, Joe",C,off,ACT,77,305,25-May-82,12,Michigan Tech,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Bergstrom, Tony",C,off,ACT,77,315,08-Aug-86,5,Utah,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Berhe, Nat",FS,dback,ACT,72,194,06-Jul-91,3,San Diego State,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Bernard, Giovani",RB,run,RES,69,205,22-Nov-91,4,North Carolina,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Berry, Eric",SS,dback,ACT,72,212,29-Dec-88,7,Tennessee,Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Berry, Jordan",P,other,ACT,77,195,18-Mar-91,2,Eastern Kentucky,Steelers,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Bersin, Brenton",WR,wide,ACT,75,210,09-May-90,3,Wofford,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Bethea, Antoine",SS,dback,ACT,71,206,27-Jul-84,11,Howard,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Bethel, Justin",CB,dback,ACT,72,200,17-Jun-90,5,Presbyterian,Cardinals,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Bethel, Justin",CB,dback,ACT,72,200,17-Jun-90,5,Presbyterian,Eagles,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Beyer, Brennen",LB,lineb,ACT,75,256,25-Nov-92,1,Michigan,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Bibbs, Kapri",RB,run,RES,71,203,10-Jan-93,2,Colorado State,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Billings, Andrew",NT,def,RES,73,311,06-Mar-95,0,Baylor,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Billingsley, Jace",WR,wide,ACT,69,189,17-May-93,0,Eastern Oregon State,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Bishop, Freddie",OLB,lineb,ACT,75,255,25-Feb-90,1,Western Michigan,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Bitonio, Joel",G,off,RES,76,305,11-Oct-91,3,Nevada,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Blackmon, Justin",WR,wide,SUS,73,210,09-Jan-90,2,Oklahoma State,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Blackmon, Will",FS,dback,ACT,72,212,27-Oct-84,10,Boston College,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
